Created Output Log File: /workdir/tasks_run/data/logs/data_dictionary_20240910_20h47m28s.csv
====== whole_session_data ======,====== whole_session_data ======
trial_start_time,2024-09-10 20:47:19.232026
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/47162117629991558634.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR24.nii
mean_activation,415.05917
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:20.323160
total_trial_time,0:00:01.091138
====== trial25 ======,====== trial25 ======
trial_start_time,2024-09-10 20:47:20.325987
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/54282609745767247179.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR25.nii
mean_activation,413.33902
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:21.309443
total_trial_time,0:00:00.983460
====== trial26 ======,====== trial26 ======
trial_start_time,2024-09-10 20:47:21.312521
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/60307605237537268579.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR26.nii
mean_activation,416.22543
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:22.401082
total_trial_time,0:00:01.088566
====== trial27 ======,====== trial27 ======
trial_start_time,2024-09-10 20:47:22.403769
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/60672641310632228179.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR27.nii
mean_activation,415.58826
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:23.500555
total_trial_time,0:00:01.096791
====== trial28 ======,====== trial28 ======
trial_start_time,2024-09-10 20:47:23.503235
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/88553136212795116661.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR28.nii
mean_activation,415.82095
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:24.602157
total_trial_time,0:00:01.098928
====== trial29 ======,====== trial29 ======
trial_start_time,2024-09-10 20:47:24.604908
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/87148712867480867568.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR29.nii
mean_activation,416.6577
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:25.602328
total_trial_time,0:00:00.997424
====== trial30 ======,====== trial30 ======
trial_start_time,2024-09-10 20:47:25.604929
keyboard_interrupt,2024-09-10 20:47:26.131384
block_end_time,2024-09-10 20:47:28.217127
total_block_time,0:00:37.247817
